actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Ashley Chiu,Once Upon a One More Time,,,,,,,
Ashley D. Kelley,Shucked,,,,,,,
Ashley Elizabeth Hale,Some Like It Hot,,,,,,,
Ashley Loren,Moulin Rouge! The Musical,,,,,,,
Ashlyn Maddox,Parade,,,,,,,
Aubrey Lynch II,The Lion King,,,,,,,
Audrey Cardwell,Shucked,,,,,,,
Aurelia Williams,Parade,,,,,,,
Austin Smith,Hamilton,,,,,,,
Ava Michele Hyl,Leopoldstadt,,,,,,,
Avery Glymph,Life of Pi,,,,,,,
Ayana George,MJ The Musical,,,,,,,
Bahiyah Hibah,Moulin Rouge! The Musical,,,,,,,
Bailee Endebrock,Parade,,,,,,,
Ben Cameron,Wicked,,,,,,,
Ben Davis,"New York, New York",,,,,,,
Ben Jackson Walker,& Juliet,,,,,,,
Benja Kay Thomas,Fat Ham,,,,,,,
Benjamin Schrader,The Book of Mormon,,,,,,,
Benjamin Wheelwright,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Beth Kirkpatrick,Parade,,,,,,,
Betsy Rosen,Life of Pi,,,,,,,
Bianca Horn,Peter Pan Goes Wrong,,,,,,,
Billy Eugene Jones,Fat Ham,,,,,,,
"Bobby ""Pocket"" Horner",& Juliet,,,,,,,
Bobby Pestka,Aladdin,,,,,,,
Brandon Antonio,& Juliet,,,,,,,
Brandon O'Neill,Aladdin,,,,,,,
Brandt Martinez,Aladdin,,-,,,,,11
Brandt Martinez,Moulin Rouge! The Musical,,-,,,,,11
Brenann Stacker,Peter Pan Goes Wrong,,,,,,,
Brendon Stimson,Some Like It Hot,,,,,,,
Bri Sudia,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Brian Abraham,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Brian Gonzales,Aladdin,,,,,,,
Brian Martin,Some Like It Hot,,,,,,,
Brian Sears,The Book of Mormon,,,,,,,
Brian Thomas Abraham,Life of Pi,,,,,,,
Brinie Wallace,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Britney Nicole Simpson,Camelot,,,,,,,
Brittany Nicholas,& Juliet,,,,,,,
Brittney Mack,Six,,,,,,,
Brontë England-Nelson,The Sign in Sidney Brustein's Window,,,,,,,
Bruce Anthony Davis,Chicago,,,,,,,
Bryan J. Cortés,"New York, New York",,,,,,,
Bud Weber,Aladdin,,,,,,,
Byron Jennings,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Caitlin Carter,Chicago,,,,,,,
Caleb Marshall,Moulin Rouge! The Musical,,,,,,,
Calvin James Davis,Leopoldstadt,,,,,,,
Calvin Leon Smith,Fat Ham,,,,,,,
Camden McKinnon,Camelot,,,,,,,
Camille M. Brown,The Lion King,,,,,,,
Carina-Kay Louchiey,MJ The Musical,,,,,,,
Carleigh Bettiol,Hamilton,,,,,,,
